ticker,year,quarter,lt_trade_receivables,gross_profit,st_liabilities,fin_leased_fixed_assets,cashneq,st_trade_accounts_payable,eps,changes_in_sale_securities,invest_in_oe,st_trade_accounts_receivable,lt_trade_payables,repaym_of_fin_leases,lt_advances_from_customers,st_advances_from_customers,share_of_associates_n_joint_ventures_result,profit_before_tax,st_invest,interest_paid,net_cf_from_operation,st_loan_receivables,lt_provision_for_invest,pnl_from_invest,share_premium,allocation_of_goodwill,olt_liabilities,eat_of_parent_company,ebt,operating_profit,interest_income_n_dividends,changes_in_inventories,inventories,preferred_stock,receipts_from_disposal_of_fixed_assets_n_olt_assets,receipts_from_equity_issue_n_cap_contri,fin_income,invest_in_associates_or_joint_ventures,st_assets,provisions,deferred_tax_exps,invest_in_subsidiaries,fixed_assets,st_provision_for_liabilities,paym_for_invest_in_oe,tangible_fixed_assets,deduction_revenue,other_funds_from_owners_equity,minoritys_interest,taxes_n_other_payables_to_gov,ost_receivables,cash_n_equiv_at_end_period,loans_purchases_of_other_debt_instruments,trading_securities,st_prepayments_to_suppliers,payable_to_employees,proceeds_from_borrowings,liabilities,lt_provision_for_doubtful_debts,pnl_foreign_exchange,st_borrowings_n_fin_leases,corp_income_tax_paid,depre_fixed_assets_n_properties_invest,other_income,receipts_from_loan_repay_n_sale_of_debt_instruments,owners_equity,sell_exps,lt_held_to_maturity_invest,cf_from_operation,other_profit,changes_in_receivables,lt_acrrued_exps,other_paym_for_operation,lt_prepayments_to_suppliers,st_held_to_maturity_invest,lt_borrowings_n_fin_leases,cogs,paym_for_share_repurchases,general_n_admin_exps,lt_provision_for_liabilities,st_provision_for_doubtful_debts,undistributed_eat,operating_profit_before_changes_in_wc,fin_exps,lt_assets,intangible_fixed_assets,st_acrrued_exps,lt_liabilities,cash_n_equiv_at_begin_period,st_inter_company_receivables,provision_for_trading_secutities,other_cap_of_owners,ost_payables,other_exps,fund_for_tech_dev,net_cf_during_period,ost_assets,total_assets,net_cf_from_invest,lt_receivables,curr_tax_exps,provision_for_inventories,lt_assets_in_progress,olt_receivables,treasury_shares,invest_properties,cash,st_receivables,olt_assets,revenue,lt_loan_receivables,lt_unearned_revenue,lt_invest,cf_from_fin,bonus_n_welfare_fund,cf_from_invest,paym_for_fixed_assets_n_construct_n_olt_assets,net_revenue,convertible_bonds,net_cf_from_fin,eat,principal_repaym,interest_exps,pnl_from_disposal_fixed_assets,st_unearned_revenue,taxes_n_other_receivables_to_gov,casheq,other_receipts_from_operation,changes_in_prepaid_exps,olt_invest,owners_cap,collections_on_invest_in_oe,dividends_paid_to_owners,dividends_n_interest_n_profit_received,changes_in_payables
ree,2018,4,745066587.0,384907588698.0,3055703378231.0,,1865096744967.0,475509264746.0,1777.0,-30466257218.0,862146487612.0,1087145655786.0,,,,968810093621.0,335064746667.0,2118004117441.0,1168925962847.0,-222415651005.0,96662158818.0,,-36025839017.0,,1050489310786.0,,201078428564.0,550918378318.0,651661054243.0,646800317822.0,,596222869695.0,969073762968.0,,317421234.0,15400000.0,46814176416.0,6136086373560.0,6016429663343.0,161304336968.0,-4966558915.0,,445423380673.0,14584831096.0,-388380606838.0,415017699810.0,686835407.0,,32688393686.0,72136543350.0,368856650596.0,1865096744967.0,-1419234830053.0,67611951511.0,149786966464.0,21998666983.0,1921237150531.0,5571218783919.0,,139138265.0,1111455193347.0,-236810116503.0,,10573061044.0,794654665938.0,9928368432641.0,30887847512.0,,,4860736421.0,-731743070574.0,,-2694262320.0,,1112434830053.0,2069934163316.0,1250370347699.0,,91852435630.0,35608889735.0,-61511842918.0,4927777363724.0,1022831012608.0,-2754089183.0,9483157553217.0,30405680863.0,259073868749.0,2515515405688.0,2397186656336.0,,-11120818717.0,,118544245525.0,5712324623.0,,-532590790894.0,47285558471.0,15499587216560.0,-226687325880.0,33557936547.0,73020841154.0,-15685828575.0,153222968061.0,32812869960.0,-83026660.0,1602831205980.0,394808304018.0,1966047634090.0,285915039801.0,1635964771804.0,,209122727273.0,6962207022155.0,,2094431500.0,,-348338140234.0,1635277936397.0,,-402565623832.0,583606772004.0,-1722158019462.0,62982567111.0,,11496239314.0,5240380157.0,1470288440949.0,,-30850332472.0,,3100588410000.0,433828630972.0,-601660154901.0,700465533101.0,-267412033393.0
ree,2018,3,947741029.0,295444658138.0,2680362926831.0,,1272855205301.0,459781883572.0,947.0,-22126904870.0,1033177277209.0,892489929219.0,,,,1056768562922.0,197597450374.0,1466343063198.0,1396192364858.0,-178979335424.0,-77943041907.0,,-159237139440.0,,1050489310786.0,,179583740639.0,293670696090.0,343229906422.0,340087366299.0,,221893923192.0,1342121626239.0,,306499247.0,15400000.0,43845412751.0,5980079200472.0,5634191097451.0,118327204453.0,6705775736.0,,453311885101.0,8342511923.0,-213838927586.0,422304152372.0,1172103609.0,,18733306168.0,55442884531.0,185275505194.0,1272855205301.0,-1229408330053.0,59272599163.0,201275461858.0,7746895965.0,1582165548696.0,5566943746149.0,,36116529.0,688438213426.0,-164390238396.0,,4086485203.0,372590815245.0,9383640551950.0,24502810353.0,,,3142540123.0,-388933080603.0,,-2008361742.0,,1344672180746.0,2458474644640.0,897891880509.0,,45487311451.0,37705564599.0,-58963846255.0,4376504069138.0,760424670980.0,126810033160.0,9316393200648.0,31007732729.0,199285314093.0,2886580819318.0,2397186656336.0,,-7752415051.0,,192828664101.0,943945080.0,,-1124847213994.0,50936781785.0,14950584298099.0,-610298509129.0,33813193489.0,24120128428.0,-16966911807.0,92979086441.0,32865452460.0,-83026660.0,1607891265674.0,158140208871.0,1572085119268.0,274378431702.0,1194508642256.0,,210772727273.0,6854019338241.0,,2780332078.0,,-262464711973.0,1193336538647.0,,-436605662958.0,312404002258.0,-1417166916224.0,57548499955.0,,8947664220.0,928342970.0,1114714996430.0,,-18578262926.0,,3100588410000.0,247147326645.0,-601619695430.0,475368819346.0,-285245452118.0
ree,2018,2,1661963366.0,225552250705.0,2598191523747.0,,1332173823176.0,412002686909.0,1801.0,-54172904870.0,1110232530432.0,704794772837.0,,,,1034994303250.0,304075321902.0,1123113156776.0,628808503985.0,-101086409061.0,-36851134710.0,,-89752542447.0,,1050489310786.0,,173682116216.0,557982780044.0,639897495155.0,634084318085.0,,180992083846.0,1374636629192.0,,298181818.0,,171247919848.0,5530828639100.0,4661516200604.0,76205353275.0,375199882.0,,465703871735.0,9619637555.0,-103628547196.0,434358108366.0,1441937591.0,,14410842394.0,93526408917.0,234106043342.0,1332173823176.0,-1053678000000.0,91318599163.0,204235209982.0,8775582494.0,1064073074525.0,5372464181944.0,,36116529.0,769417251445.0,-109501609776.0,,6514738483.0,242310140350.0,9071092552164.0,20979881931.0,750478000000.0,,5813177070.0,-45465308767.0,,,,548730319873.0,2346821123882.0,996164866578.0,,38066619975.0,41302548659.0,-61979521255.0,4082833373049.0,507892175438.0,7744672464.0,9782040533504.0,31345763369.0,182511953788.0,2774272658197.0,2397186656336.0,,-11240415051.0,,74446803699.0,701561413.0,,-1065411203732.0,49035299334.0,14443556734108.0,-561870282825.0,35254901826.0,67128672835.0,-25353748200.0,63066532883.0,33592938460.0,-83026660.0,1633478424543.0,123773314559.0,1276861944917.0,282750175432.0,1223159054874.0,,212422727273.0,7301786627085.0,,3430208820.0,,-131615473526.0,1221717117283.0,,-466689786197.0,572393622438.0,-929352924792.0,59242868595.0,,9466686870.0,816957562.0,1208400508617.0,1085311798.0,-23643120975.0,,3100588410000.0,140995951210.0,-601409935930.0,343447464519.0,-392951352343.0
ree,2018,1,1661963366.0,322165874482.0,3170644559450.0,,1499281152036.0,341889291542.0,1231.0,-48604367370.0,1043877256704.0,811463043089.0,,,,1373301790398.0,162086475302.0,483215661621.0,565831751646.0,-61684892386.0,-146075248516.0,,-146133138509.0,,1050489310786.0,,150947280674.0,381408391916.0,483215661621.0,482614736131.0,,24686993190.0,1531227043312.0,,98181818.0,,41617781891.0,5513520076202.0,4960189673183.0,28303591146.0,4409904463.0,,478835111373.0,11522436963.0,,447442033624.0,897100051.0,,34936996566.0,72078097176.0,253129147993.0,1499281152036.0,-750478000000.0,85750061663.0,204180797669.0,10622688717.0,555274770677.0,6065451367818.0,,-117007342.0,572983845513.0,-64999021315.0,,2661345201.0,,8539176334030.0,22213598000.0,750478000000.0,,600925490.0,-178605862654.0,,2270190000.0,,487834105035.0,2490316087939.0,728154257438.0,,41371165799.0,35359883445.0,-69026865607.0,3525584287490.0,291542304945.0,-20329368255.0,9644438028665.0,31393077749.0,179495602271.0,2894806808368.0,2397186656336.0,,-7752415052.0,,598805787628.0,2060419711.0,,-898049406527.0,42427170121.0,14604627701848.0,-771091225910.0,36390629073.0,62460368676.0,-25068424736.0,1270569871821.0,34728665707.0,-83026660.0,612371152943.0,300581190605.0,1321422556068.0,84529069058.0,1051217231971.0,,218139414143.0,7161742194397.0,,3872807022.0,,-145352596981.0,1050320131920.0,,19117067899.0,416345388482.0,-473097062819.0,45153468963.0,,6072212220.0,3237160998.0,1198699961431.0,,1107340461.0,,3100588410000.0,74561982000.0,-63060639959.0,50079207253.0,-111787933387.0
ree,2018,-1,745066587.0,1228073644751.0,3056518124052.0,,1865096744967.0,475613428159.0,5754.0,-30466257218.0,862146487612.0,1087145655786.0,,,,968365441193.0,998823994253.0,2118013069944.0,1138925962847.0,-221359370826.0,90244160290.0,,-36025839017.0,,1050489310786.0,,200110869604.0,1783971852557.0,2118013069944.0,2105657869033.0,,596222869695.0,969073762968.0,,1239262329.0,15400000.0,303525295129.0,6136086373569.0,5987684470133.0,161304336971.0,6524321167.0,,445423380673.0,14584831096.0,-388380606838.0,415017699810.0,3950856432.0,,100786786127.0,72324219225.0,368856650595.0,1865096744967.0,-1419234830053.0,67611951511.0,149446477449.0,21998666983.0,1921237150531.0,5571294773978.0,,180374946.0,1111455193347.0,-236725059088.0,,21940218216.0,794654665938.0,9928368333646.0,98584137794.0,30000000000.0,,12355200911.0,-729468253445.0,,-2891980522.0,,1082434830053.0,2069934163314.0,3872581352224.0,,214709679120.0,35608889735.0,-61511842918.0,4927769386011.0,1025859185385.0,111471248186.0,9511978637491.0,30405680863.0,259073868749.0,2514776649926.0,2397186656336.0,,-11120818717.0,,119511804486.0,9585017305.0,,-532586163236.0,48880854277.0,15499663107624.0,-220264699692.0,33557936547.0,226730110093.0,-15685828575.0,153222968061.0,32812869960.0,-83026660.0,1602831205980.0,394808304018.0,1965707145074.0,284736124066.0,5104605853407.0,,209122727273.0,6992207022164.0,,2094431500.0,,-340011526865.0,5100654996975.0,,-402565623834.0,1884758638684.0,-1722158019464.0,224927404624.0,,11496239314.0,4696253973.0,1470288440949.0,,-27644764928.0,,3100588410000.0,430672248754.0,-490750760400.0,700796087043.0,-283282208763.0
ree,2017,4,1661963366.0,542484721521.0,2932379533768.0,,2397186656336.0,451618666496.0,1091.0,140583313277.0,1099528485702.0,787785354089.0,,,,1310588823460.0,148521313908.0,1721132800417.0,516561743653.0,-77867881746.0,1002314225701.0,,-211901553699.0,,1050489310786.0,,122429051200.0,338106510447.0,497429402771.0,493865351847.0,,-324108158842.0,1555629874625.0,,2168152727.0,36495030000.0,45840413840.0,5386673745476.0,5665882506819.0,63225518370.0,-5313875263.0,,492274382836.0,11557460090.0,-910171380084.0,460547499283.0,1751433697.0,,85684907292.0,75865433196.0,116750346660.0,2397186656336.0,-487903100115.0,37145694293.0,178558081135.0,22938873125.0,3975191816250.0,5607391640856.0,,410703118.0,672101562482.0,-213124611037.0,129656012955.0,8028699386.0,655908192973.0,8693277201089.0,36253398604.0,,,3564050924.0,-86041494676.0,,-5026657454.0,,487830927441.0,2308624663112.0,1125194843088.0,,106589181937.0,28191523336.0,-70941328060.0,3642388392065.0,1129786700458.0,100138516881.0,8634786335126.0,31726883553.0,283145378964.0,2675012107088.0,960027120496.0,,-8414878081.0,,96976923933.0,4464648462.0,,1436824276820.0,59789871095.0,14300668841945.0,-491911205015.0,36154142823.0,78951860295.0,-25352586613.0,1127742640481.0,34492179457.0,-83026660.0,624011258648.0,235013293004.0,1136714361110.0,80303232859.0,1669430998306.0,,215722727273.0,6274300677479.0,,986412022.0,,-585073514232.0,1667679564609.0,,926421256134.0,423791417739.0,-2488156640319.0,42910767572.0,,6600000000.0,27315094091.0,2162173363332.0,,-8409967512.0,,3100588410000.0,103798125003.0,-597108949797.0,729362318713.0,446522983233.0
ree,2017,3,2419142235.0,312191458484.0,2855652005164.0,,2507556350185.0,416982368558.0,1198.0,110043161527.0,1513306648467.0,691615424530.0,,,,1456050335649.0,183917128134.0,1223703397646.0,336625694961.0,-62180118824.0,588244390378.0,,-157205975054.0,,1050489310786.0,,216021614780.0,371386522877.0,447748243717.0,444383354490.0,,-341820770355.0,1707040455628.0,,1994490909.0,,44025174312.0,4273693334138.0,5835864049498.0,4149738498.0,-1613585104.0,,499719513300.0,3260254017.0,-127270901923.0,467642406439.0,581686220.0,,26644793287.0,50418520231.0,62094645882.0,,-157352847569.0,67685846043.0,365888591618.0,11770809821.0,3116736421890.0,5271439303561.0,,-306745477.0,461366395654.0,-152342649679.0,98232279397.0,5182249434.0,536215968738.0,8233010468664.0,20343647924.0,,,3364889227.0,-189216090749.0,,-3152352000.0,,276972899130.0,2164582193139.0,770915816115.0,,41261558380.0,35183490478.0,-66471273955.0,3304296547064.0,691544375249.0,34145200136.0,7668585722727.0,32077106861.0,170097195007.0,2415787298397.0,960027120496.0,,-8033050212.0,,283046356228.0,1817360207.0,,1547165513524.0,41944982710.0,13504449772225.0,413356911741.0,36828542017.0,51330512657.0,-27129506291.0,954532377760.0,34409399782.0,-83026660.0,503882905747.0,86880421841.0,1242696566014.0,43828376352.0,1083688960819.0,,,5629794007551.0,,1920664749.0,,-403895928188.0,1083107274599.0,,545564211405.0,398031316164.0,-1984478882760.0,21651640020.0,,739105250.0,1476536076.0,2420675928344.0,,29133219870.0,,3100588410000.0,37159835657.0,-586693327725.0,526506294117.0,506235715339.0
ree,2017,2,5367870251.0,271678444780.0,2978137448877.0,,1236497394401.0,421502979632.0,1086.0,110043161527.0,1513256648467.0,594025498032.0,,,,1544140919829.0,236173398835.0,775955153929.0,359981044388.0,-41726591696.0,531845977984.0,,-144103752554.0,,1050489310786.0,,200800217770.0,336809467441.0,375042235287.0,373344997705.0,,-105275393563.0,1470284768245.0,,1659090909.0,,55228995991.0,4095178068554.0,4588774825354.0,-10417304362.0,12585744054.0,,510826682180.0,5984901672.0,-137123069540.0,478394762011.0,1090375393.0,,15376878249.0,27729707402.0,156589789081.0,1236497394401.0,-41159547200.0,67685846043.0,309543061234.0,14413296572.0,1070163725648.0,4036146523794.0,,-306745477.0,518638650226.0,-105386703177.0,71286573135.0,3087362006.0,396394372807.0,7865154145047.0,15873533671.0,,,1697237582.0,-346089637987.0,,-2173555000.0,,300601194692.0,826532206205.0,884392346631.0,,58761598853.0,30676650942.0,-66471273955.0,2932910024187.0,408095274006.0,115100709377.0,7312525843487.0,32431920169.0,162349559394.0,1058009074917.0,960027120496.0,,-8305996347.0,,280071382431.0,1390124424.0,,276102914731.0,65343749068.0,11901300668841.0,459394388616.0,39666870033.0,10270145543.0,-27173931677.0,741218578023.0,34298999782.0,-83026660.0,514229723170.0,329237070795.0,1456667869252.0,42253025614.0,1157161166804.0,,,5464330964467.0,,2840694749.0,,-185673357458.0,1156070791411.0,,-715137451869.0,352186345690.0,-1218683918880.0,20531179587.0,,465356970.0,16123453844.0,907260323606.0,3393134000.0,32805898636.0,,3100588410000.0,47023835657.0,-566617258637.0,378273063441.0,578160391238.0
ree,2017,1,2801963714.0,301945639453.0,2941924433056.0,,1181695676454.0,328465431552.0,1067.0,-1895881473.0,1530720648467.0,552409347283.0,,,,1319875422339.0,150319520875.0,400912918642.0,569705045595.0,-24073782519.0,249712427356.0,,-81388605154.0,,1050489310786.0,,175992095664.0,330770623577.0,400912918642.0,400063949828.0,,21507928007.0,1343512992000.0,,1659090909.0,,29461291076.0,4185465492185.0,4189130893636.0,36677768609.0,508955032.0,,518549778646.0,20692327852.0,-135980004290.0,485729767671.0,638525280.0,,18031290334.0,58430611689.0,52779677406.0,1181695676454.0,-3000000000.0,179624889043.0,329034633123.0,14003239412.0,355053282414.0,4022353548488.0,,,498225743915.0,-87353862290.0,36677768609.0,2126796541.0,184182000000.0,7572856811466.0,22123549650.0,,,848968814.0,-2156340184.0,,-1778417000.0,,474654020299.0,878043746214.0,786370145861.0,,34143241884.0,26393273554.0,-63649056910.0,2600090582669.0,289883022772.0,25395710042.0,7406079466318.0,32820010975.0,153178368400.0,1080429115432.0,960027120496.0,,-84573863747.0,,547647311883.0,1277827727.0,,221668555958.0,25971868972.0,11595210359954.0,109771320138.0,37084963496.0,51602049699.0,-26486604476.0,628837722425.0,34282999782.0,-83026660.0,524623221870.0,199790409504.0,1068245310615.0,62186244383.0,1088954310594.0,,,5634797535498.0,,,,,1088315785314.0,,-137815191536.0,348801913911.0,-472474841948.0,19943980954.0,,1405976014.0,1926487680.0,981905266950.0,157301251.0,35576658860.0,,3100588410000.0,28436152157.0,-20393632002.0,98032936001.0,19845799932.0
ree,2017,-1,1661963366.0,1429398860417.0,2926952955507.0,,2397186656336.0,445707529615.0,4441.0,140583313277.0,1099528485702.0,787561053987.0,,-491809672080.0,,1329501182358.0,718931362177.0,1721146987668.0,516561743653.0,-77752013548.0,992245414986.0,,-211901553699.0,,1050489310786.0,,121854136200.0,1377087391977.0,1721146987668.0,1711671841121.0,,-324108158842.0,1555629874625.0,,6140854545.0,36495030000.0,174539941233.0,5386673745900.0,5651352047837.0,130117592892.0,6167238721.0,,492274382836.0,11557460090.0,-911286395924.0,460547499283.0,4062020590.0,,145737788776.0,75865433371.0,116848326532.0,2397186656336.0,-496990474641.0,37145694293.0,172646944254.0,22938873125.0,3907006736414.0,5601390147595.0,,283085334.0,672101562482.0,-213176973549.0,130117592892.0,18608033177.0,664995567499.0,8693277201337.0,94594129849.0,,,9475146547.0,-98125315856.0,,-4334703727.0,,487830927441.0,2308624663112.0,3565774555516.0,,241824868262.0,28191523336.0,-70941328060.0,3642395860711.0,1131167253531.0,274779324595.0,8643315301095.0,31726883553.0,283145378964.0,2674437192088.0,960027120496.0,,-8414878081.0,,78549123480.0,9132886630.0,,1436759978674.0,51296869224.0,14294667348932.0,-481517866864.0,36128142823.0,192154568194.0,-25352586613.0,1127742640481.0,34466179457.0,-83026660.0,624011258648.0,235013293004.0,1130676903999.0,88858198404.0,4999235436523.0,,215722727273.0,6274300677903.0,,986412022.0,,-584268632523.0,4995173415933.0,,926032430552.0,1522825180753.0,-2420367560483.0,104642480959.0,,6600000000.0,17637667783.0,2162173363332.0,,-8409967512.0,,3100588410000.0,110587344523.0,-105292103299.0,729303869657.0,446401981212.0
